ACC_NUM,NAME,COLL_NUM,COUNTRY_FULL,LOCALITY,HumanLocality,LAT_DEGREE,LAT_DIR,LONG_DEGREE,LONG_DIR,HumanLat,HumanLong
2002-0654,Buxus sempervirens,AGRU-82,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, this plant a young solitary specimen",“Nikitsky”,,,,,44.5106284,34.23185
2002-0655,Buxus sempervirens,AGRU-83,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, growing in a low hedge",“Nikitsky”,,,,,44.5106284,34.23185
2002-0656,Buxus sempervirens,AGRU-84,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, this plant grown as a hedge in many parts of garden",“Nikitsky”,,,,,44.5106284,34.23185
2002-0657,Buxus sempervirens,AGRU-85,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, in a hedge of mostly AGRU-84",“Nikitsky”,,,,,44.5106284,34.23185
2002-0658,Buxus sempervirens,AGRU-86,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, plant gowing under a large yew tree",“Nikitsky”,,,,,44.5106284,34.23185
2002-0659,Buxus sempervirens,AGRU-87,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine",“Nikitsky”,,,,,44.5106284,34.23185
1997-1035,Buxus sempervirens,AL 035,Albania,"Kampi I Llogora, Camp of Llogora, Llogora National Park",,40.21444,N,19.57694,E,,
2001-1280,Buxus sempervirens,GB-1,Georgia,"Church of Saint George, near Navdaraant Kari","Tbilisi, Georgia",,,,,41.48014,44.49357
2001-1287,Buxus sempervirens,GB-10,Georgia,Shiogvime Monastery near Mtskheta,Larger Monastery called Jvari,,,,,41.8667042,44.9124449
2001-1289,Buxus sempervirens,GB-12,Georgia,Tbilisi Botanical Garden,"Tbilisi, Georgia",,,,,41.6851348,44.8029682
2001-1291,Buxus sempervirens,GB-15,Georgia,Kvatakhevi Monastery near Tsinarekhi village,,,,,,41.8368437,44.4499327
2001-1292,Buxus sempervirens,GB-17,Georgia,research station of the Vashlovani Nature Reserve,,,,,,41.1202,46.22404
2001-1294,Buxus sempervirens,GB-19,Georgia,Kasristskali village naer the Vashlovani Nature Reserve,,,,,,41.1202,46.22404
2001-1281,Buxus sempervirens,GB-2,Georgia,"Church of Saint George, near Navdaraant Kari","Tbilisi, Georgia",,,,,41.48014,44.49357
2001-1295,Buxus sempervirens,GB-20,Georgia,Kasristskali village naer the Vashlovani Nature Reserve,,,,,,41.1202,46.22404
2001-1299,Buxus sempervirens,GB-24,Georgia,Lagodekhi Nature Reserve headquarters,,,,,,41.9056702,46.2978888
2001-1300,Buxus sempervirens,GB-25,Georgia,Abano Health Resort near Shilda,,,,,,42.0039907,45.7119548
2001-1301,Buxus sempervirens,GB-26,Georgia,Abano Health Resort near Shilda,,,,,,42.0039907,45.7119548
2001-1302,Buxus sempervirens,GB-27,Georgia,Abano Health Resort near Shilda,,,,,,42.0039907,45.7119548
2001-1303,Buxus sempervirens,GB-28,Georgia,Abano Health Resort near Shilda,,,,,,42.0039907,45.7119548
2001-1304,Buxus sempervirens,GB-29,Georgia,"Bzatagora (Boxwood Hill) near Kvareli, 15 km east of Shilda",,,,,,41.59421,45.47355
2001-1306,Buxus sempervirens,GB-31,Georgia,"Bzatagora (Boxwood Hill) near Kvareli, 15 km east of Shilda",,,,,,41.59421,45.47355
2001-1307,Buxus sempervirens,GB-32,Georgia,"Bzatagora (Boxwood Hill) near Kvareli, 15 km east of Shilda",,,,,,41.59421,45.47355
2001-1309,Buxus sempervirens,GB-34,Georgia,"Bzatagora (Boxwood Hill) near Kvareli, 15 km east of Shilda",,,,,,41.59421,45.47355
2001-1310,Buxus sempervirens,GB-35,Georgia,"Bzatagora (Boxwood Hill) near Kvareli, 15 km east of Shilda",,,,,,41.59421,45.47355
2001-1311,Buxus sempervirens,GB-36,Georgia,"Tsinandali Park and Museum of Alexander Chavchavadze, east of Telavi",,,,,,41.8974696,45.5677163
2001-1312,Buxus sempervirens,GB-38,Georgia,"house of Khatuna Tsiklauri in Manglisi, 90 km west of Tbilisi",,,,,,41.698166,44.3731356
2001-1313,Buxus sempervirens,GB-40,Georgia,purchased from roadside vendor outside of Tbilisi,,,,,,41.42956,44.48797
2001-1314,Buxus sempervirens,GB-41,Georgia,Vake Cemetery at Tbilisi,,,,,,41.7098734,44.7383236
2001-1316,Buxus sempervirens,GB-43,Georgia,Vake Cemetery at Tbilisi,,,,,,41.7098734,44.7383236
2001-1317,Buxus sempervirens,GB-44,Georgia,"Tsinandali Park and Museum of Alexander Chavchavadze, east of Telavi",,,,,,41.8974696,45.5677163
2001-1318,Buxus sempervirens,GB-45,Georgia,Borjomi National Park headquarters,,,,,,41.8625597,43.1372005
2001-1319,Buxus sempervirens,GB-46,Georgia,Borjomi-Likani health resort,,,,,,41.8363263,43.3701019
2001-1321,Buxus sempervirens,GB-48,Georgia,Bakuriani Ecological Station,,,,,,41.45272,43.30233
2001-1322,Buxus sempervirens,GB-49,Georgia,Borjomi-Likani health resort,,,,,,41.8363263,43.3701019
2001-1323,Buxus sempervirens,GB-50,Georgia,Borjomi-Likani health resort,,,,,,41.8363263,43.3701019
2001-1324,Buxus sempervirens,GB-51,Georgia,old botanical garden in Bakuriani ,,,,,,41.7468829,43.5279179
2001-1326,Buxus sempervirens,GB-53,Georgia,"near a village of Kharagauli, south of the road from Khashuri to Zestaponi",,,,,,41.48085,43.1161
2001-1328,Buxus sempervirens,GB-55,Georgia,"near a village of Kharagauli, south of the road from Khashuri to Zestaponi",,,,,,41.48085,43.1161
2001-1331,Buxus sempervirens,GB-59,Georgia,"near a village of Kharagauli, south of the road from Khashuri to Zestaponi",,,,,,41.48085,43.1161
2001-1332,Buxus sempervirens,GB-60,Georgia,"near a village of Kharagauli, south of the road from Khashuri to Zestaponi",,,,,,41.48085,43.1161
2012-0869,Buxus sempervirens,GB-63,,"near a village of Kharagauli, south of the road from Khashuri to Zestaponi",,,,,,41.48085,43.1161
2001-1340,Buxus sempervirens,GB-68,Georgia,"Kintrishi Gorge Nature Preserve, 50 km northeast of Batumi",,,,,,41.682,42.039
2001-1285,Buxus sempervirens,GB-7,Georgia,Zedazeni Monastery in Saguramo Nature Reserve,,,,,,41.8712146,44.7662327
2001-1344,Buxus sempervirens,GB-73,Georgia,"Matschachela river valley, south of Batumi, near Turkish border",,,,,,41.32353,41.37543
2001-1350,Buxus sempervirens,GB-80,Georgia,Batumi Botanical Garden,,,,,,41.692717,41.719783
1958-1922,Buxus sempervirens /K-101/,K-101,Macedonia,"Vardar Valley, near Scupi",“skopje”,,,,,42.003991,21.4236027
1958-1871,Buxus sempervirens /K-106/,K-106,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1883,Buxus sempervirens /K-123/,K-123,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1939,Buxus sempervirens /K-129/,K-129,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1955,Buxus sempervirens /K-13/,K-13,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1944,Buxus sempervirens /K-22/,K-22,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1945,Buxus sempervirens /K-24/,K-24,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1863,Buxus sempervirens /K-25/,K-25,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1946,Buxus sempervirens /K-26/,K-26,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1864,Buxus sempervirens /K-27/,K-27,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1865,Buxus sempervirens /K-28/,K-28,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1858,Buxus sempervirens /K-40/,K-40,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1859,Buxus sempervirens /K-42/,K-42,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1951,Buxus sempervirens /K-43/,K-43,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1965,Buxus sempervirens /K-6/,K-6,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1835,Buxus sempervirens /K-63/,K-63,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1843,Buxus sempervirens /K-64/,K-64,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1904,Buxus sempervirens /K-81/,K-81,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1907,Buxus sempervirens /K-87/,K-87,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
1958-1914,Buxus sempervirens /K-96/,K-96,Macedonia,"Vardar Valley, near Scupi",,,,,,42.003991,21.4236027
2007-0857,Buxus sempervirens,MK-01,Macedonia,,,41.95993823,N,21.29631321,E,,
2007-0858,Buxus sempervirens,MK-02,Macedonia,,,41.95758675,N,21.29677392,E,,
2007-0859,Buxus sempervirens,MK-03,Macedonia,,,41.95078947,N,21.29948585,E,,
2007-0861,Buxus sempervirens,MK-05,Macedonia,,,41.94986156,N,21.29886035,E,,
2007-0862,Buxus sempervirens,MK-06,Macedonia,,,41.97319303,N,21.37724516,E,,
2007-0863,Buxus sempervirens,MK-07,Macedonia,,,41.97253293,N,21.37724516,E,,
2007-0864,Buxus sempervirens,MK-08,Macedonia,,,41.81823711,N,21.63074947,E,,
2007-0865,Buxus sempervirens,MK-09,Macedonia,,,41.81847856,N,21.63087948,E,,
2007-0866,Buxus sempervirens,MK-10,Macedonia,,,41.81784171,N,21.59870326,E,,
2007-0867,Buxus sempervirens,MK-11,Macedonia,,,41.81783644,N,21.59921101,E,,
2007-0868,Buxus sempervirens,MK-12,Macedonia,,,41.81786629,N,21.59922614,E,,
2007-0869,Buxus sempervirens,MK-13,Macedonia,,,41.81787351,N,21.59914776,E,,
2007-0870,Buxus sempervirens,MK-14,Macedonia,,,41.8178047,N,21.59925078,E,,
2007-0872,Buxus sempervirens,MK-16,Macedonia,,,41.98084374,N,21.60119293,E,,
2007-0873,Buxus sempervirens,MK-17,Macedonia,,,41.80939019,N,21.60119293,E,,
2007-0874,Buxus sempervirens,MK-18,Macedonia,,,41.80925296,N,21.60138235,E,,
2007-0875,Buxus sempervirens,MK-19,Macedonia,,,41.8204414,N,21.59876846,E,,
2007-0876,Buxus sempervirens,MK-20,Macedonia,,,41.81864254,N,21.59858334,E,,
2007-0877,Buxus sempervirens,MK-21,Macedonia,,,41.36126213,N,22.25388479,E,,
2007-0878,Buxus sempervirens,MK-22,Macedonia,,,41.8400809,N,21.6819142,E,,
2007-0879,Buxus sempervirens,MK-23,Macedonia,,,41.83381486,N,21.68188349,E,,
2007-0880,Buxus sempervirens,MK-24,Macedonia,,,41.83370497,N,21.68207543,E,,
2007-0881,Buxus sempervirens,MK-25,Macedonia,,,41.83361077,N,21.68225609,E,,
2007-0882,Buxus sempervirens,MK-26,Macedonia,,,41.8336915,N,21.68211995,E,,
2007-0883,Buxus sempervirens,MK-27,Macedonia,,,40.92826584,N,20.7773823,E,,
2007-0884,Buxus sempervirens,MK-28,Macedonia,,,40.92330173,N,20.77391487,E,,
2007-0885,Buxus sempervirens,MK-29,Macedonia,,,40.91901429,N,20.77405616,E,,
2007-0886,Buxus sempervirens,MK-30,Macedonia,,,40.918659,N,20.7739705,E,,
2007-0888,Buxus sempervirens,MK-32,Macedonia,,,40.90683733,N,20.80014459,E,,
2004-0418,Buxus sempervirens,RS-01,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0419,Buxus sempervirens,RS-02,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0420,Buxus sempervirens,RS-03,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0422,Buxus sempervirens,RS-05,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0431,Buxus sempervirens,RS-16,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0432,Buxus sempervirens,RS-17,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0433,Buxus sempervirens,RS-18,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0434,Buxus sempervirens,RS-19,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0435,Buxus sempervirens,RS-20,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0437,Buxus sempervirens,RS-22,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0438,Buxus sempervirens,RS-23,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0439,Buxus sempervirens,RS-24,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0440,Buxus sempervirens,RS-25,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0441,Buxus sempervirens,RS-26,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0442,Buxus sempervirens,RS-27,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0443,Buxus sempervirens,RS-28,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0444,Buxus sempervirens,RS-29,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0445,Buxus sempervirens,RS-30,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0446,Buxus sempervirens,RS-31,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0448,Buxus sempervirens,RS-33,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0449,Buxus sempervirens,RS-35,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0450,Buxus sempervirens,RS-36,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0451,Buxus sempervirens,RS-37,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0452,Buxus sempervirens,RS-39,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0453,Buxus sempervirens,RS-41,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0454,Buxus sempervirens,RS-42,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0455,Buxus sempervirens,RS-43,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0456,Buxus sempervirens,RS-44,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0458,Buxus sempervirens,RS-46,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
2004-0459,Buxus sempervirens,RS-47,Russian Federation,"in western Caucasus, Sochi region, Krasnodarskiy Kray, Russia",,,,,,43.6017215,39.725129
